YEAR,REGION,GENRE,TRANCHE_AGE,NB_STUDENTS,POPULATION_INSEE_2025,PART_STUDENTS,PART_INSEE,PERIMETRE_ANALYSE
2022,Auvergne-Rhône-Alpes,Non renseigné,20-39,46,,0.027123,,Analyse interne OC
2022,Auvergne-Rhône-Alpes,Non renseigné,40-59,27,,0.015920,,Analyse interne OC
2022,Auvergne-Rhône-Alpes,Non renseigné,60+,1,,0.000590,,Analyse interne OC
2022,Auvergne-Rhône-Alpes,femme,20-39,19,,0.011203,,Analyse interne OC
2022,Auvergne-Rhône-Alpes,femme,40-59,11,,0.006486,,Analyse interne OC
2022,Auvergne-Rhône-Alpes,femme,60+,1,,0.000590,,Analyse interne OC
2022,Auvergne-Rhône-Alpes,homme,20-39,40,,0.023585,,Analyse interne OC
2022,Auvergne-Rhône-Alpes,homme,40-59,24,,0.014151,,Analyse interne OC
2022,Auvergne-Rhône-Alpes,homme,60+,2,,0.001179,,Analyse interne OC
2022,Bourgogne-Franche-Comté,Non renseigné,20-39,7,,0.004127,,Analyse interne OC
2022,Bourgogne-Franche-Comté,femme,20-39,4,,0.002358,,Analyse interne OC
2022,Bourgogne-Franche-Comté,femme,40-59,1,,0.000590,,Analyse interne OC
2022,Bourgogne-Franche-Comté,homme,20-39,10,,0.005896,,Analyse interne OC
2022,Bourgogne-Franche-Comté,homme,40-59,5,,0.002948,,Analyse interne OC
2022,Bretagne,Non renseigné,20-39,11,,0.006486,,Analyse interne OC
2022,Bretagne,Non renseigné,40-59,7,,0.004127,,Analyse interne OC
2022,Bretagne,Non renseigné,60+,1,,0.000590,,Analyse interne OC
2022,Bretagne,femme,20-39,6,,0.003538,,Analyse interne OC
2022,Bretagne,femme,40-59,1,,0.000590,,Analyse interne OC
2022,Bretagne,homme,20-39,11,,0.006486,,Analyse interne OC
2022,Bretagne,homme,40-59,8,,0.004717,,Analyse interne OC
2022,Bretagne,homme,60+,1,,0.000590,,Analyse interne OC
2022,Centre-Val de Loire,Non renseigné,20-39,12,,0.007075,,Analyse interne OC
2022,Centre-Val de Loire,Non renseigné,60+,1,,0.000590,,Analyse interne OC
2022,Centre-Val de Loire,femme,20-39,4,,0.002358,,Analyse interne OC
2022,Centre-Val de Loire,homme,20-39,13,,0.007665,,Analyse interne OC
2022,Centre-Val de Loire,homme,40-59,6,,0.003538,,Analyse interne OC
2022,DROM,Non renseigné,20-39,1,,0.000590,,Analyse interne OC
2022,DROM,Non renseigné,40-59,1,,0.000590,,Analyse interne OC
2022,DROM,femme,40-59,3,,0.001769,,Analyse interne OC
2022,DROM,homme,20-39,4,,0.002358,,Analyse interne OC
2022,DROM,homme,40-59,5,,0.002948,,Analyse interne OC
2022,Grand Est,Non renseigné,20-39,27,,0.015920,,Analyse interne OC
2022,Grand Est,Non renseigné,40-59,12,,0.007075,,Analyse interne OC
2022,Grand Est,femme,20-39,9,,0.005307,,Analyse interne OC
2022,Grand Est,femme,40-59,4,,0.002358,,Analyse interne OC
2022,Grand Est,homme,20-39,28,,0.016509,,Analyse interne OC
2022,Grand Est,homme,40-59,14,,0.008255,,Analyse interne OC
2022,Grand Est,homme,60+,1,,0.000590,,Analyse interne OC
2022,Hauts-de-France,Non renseigné,20-39,24,,0.014151,,Analyse interne OC
2022,Hauts-de-France,Non renseigné,40-59,18,,0.010613,,Analyse interne OC
2022,Hauts-de-France,femme,20-39,20,,0.011792,,Analyse interne OC
2022,Hauts-de-France,femme,40-59,6,,0.003538,,Analyse interne OC
2022,Hauts-de-France,homme,20-39,25,,0.014741,,Analyse interne OC
2022,Hauts-de-France,homme,40-59,18,,0.010613,,Analyse interne OC
2022,Hauts-de-France,homme,60+,2,,0.001179,,Analyse interne OC
2022,Normandie,Non renseigné,20-39,12,,0.007075,,Analyse interne OC
2022,Normandie,Non renseigné,40-59,1,,0.000590,,Analyse interne OC
2022,Normandie,femme,20-39,1,,0.000590,,Analyse interne OC
2022,Normandie,femme,40-59,3,,0.001769,,Analyse interne OC
2022,Normandie,homme,20-39,14,,0.008255,,Analyse interne OC
2022,Normandie,homme,40-59,4,,0.002358,,Analyse interne OC
2022,Nouvelle-Aquitaine,Non renseigné,20-39,24,,0.014151,,Analyse interne OC
2022,Nouvelle-Aquitaine,Non renseigné,40-59,19,,0.011203,,Analyse interne OC
2022,Nouvelle-Aquitaine,Non renseigné,60+,2,,0.001179,,Analyse interne OC
2022,Nouvelle-Aquitaine,femme,20-39,5,,0.002948,,Analyse interne OC
2022,Nouvelle-Aquitaine,femme,40-59,14,,0.008255,,Analyse interne OC
2022,Nouvelle-Aquitaine,homme,20-39,36,,0.021226,,Analyse interne OC
2022,Nouvelle-Aquitaine,homme,40-59,16,,0.009434,,Analyse interne OC
2022,Nouvelle-Aquitaine,homme,60+,1,,0.000590,,Analyse interne OC
2022,Occitanie,Non renseigné,20-39,31,,0.018278,,Analyse interne OC
2022,Occitanie,Non renseigné,40-59,14,,0.008255,,Analyse interne OC
2022,Occitanie,Non renseigné,60+,2,,0.001179,,Analyse interne OC
2022,Occitanie,femme,20-39,9,,0.005307,,Analyse interne OC
2022,Occitanie,femme,40-59,9,,0.005307,,Analyse interne OC
2022,Occitanie,homme,20-39,38,,0.022406,,Analyse interne OC
2022,Occitanie,homme,40-59,11,,0.006486,,Analyse interne OC
2022,Occitanie,homme,60+,1,,0.000590,,Analyse interne OC
2022,Pays de la Loire,Non renseigné,20-39,17,,0.010024,,Analyse interne OC
2022,Pays de la Loire,Non renseigné,40-59,12,,0.007075,,Analyse interne OC
2022,Pays de la Loire,femme,20-39,4,,0.002358,,Analyse interne OC
2022,Pays de la Loire,femme,40-59,8,,0.004717,,Analyse interne OC
2022,Pays de la Loire,homme,20-39,18,,0.010613,,Analyse interne OC
2022,Pays de la Loire,homme,40-59,6,,0.003538,,Analyse interne OC
2022,Provence-Alpes-Côte d'Azur,Non renseigné,20-39,25,,0.014741,,Analyse interne OC
2022,Provence-Alpes-Côte d'Azur,Non renseigné,40-59,15,,0.008844,,Analyse interne OC
2022,Provence-Alpes-Côte d'Azur,Non renseigné,60+,1,,0.000590,,Analyse interne OC
2022,Provence-Alpes-Côte d'Azur,femme,20-39,7,,0.004127,,Analyse interne OC
2022,Provence-Alpes-Côte d'Azur,femme,40-59,7,,0.004127,,Analyse interne OC
2022,Provence-Alpes-Côte d'Azur,homme,20-39,29,,0.017099,,Analyse interne OC
2022,Provence-Alpes-Côte d'Azur,homme,40-59,14,,0.008255,,Analyse interne OC
2022,Provence-Alpes-Côte d'Azur,homme,60+,2,,0.001179,,Analyse interne OC
2022,Île-de-France,Non renseigné,20-39,225,,0.132665,,Analyse interne OC
2022,Île-de-France,Non renseigné,40-59,99,,0.058373,,Analyse interne OC
2022,Île-de-France,Non renseigné,60+,11,,0.006486,,Analyse interne OC
2022,Île-de-France,femme,20-39,85,,0.050118,,Analyse interne OC
2022,Île-de-France,femme,40-59,60,,0.035377,,Analyse interne OC
2022,Île-de-France,femme,60+,1,,0.000590,,Analyse interne OC
2022,Île-de-France,homme,20-39,166,,0.097877,,Analyse interne OC
2022,Île-de-France,homme,40-59,105,,0.061910,,Analyse interne OC
2022,Île-de-France,homme,60+,10,,0.005896,,Analyse interne OC
2023,Auvergne-Rhône-Alpes,Non renseigné,20-39,18,,0.015652,,Analyse interne OC
2023,Auvergne-Rhône-Alpes,Non renseigné,40-59,12,,0.010435,,Analyse interne OC
2023,Auvergne-Rhône-Alpes,femme,20-39,13,,0.011304,,Analyse interne OC
2023,Auvergne-Rhône-Alpes,femme,40-59,2,,0.001739,,Analyse interne OC
2023,Auvergne-Rhône-Alpes,homme,20-39,25,,0.021739,,Analyse interne OC
2023,Auvergne-Rhône-Alpes,homme,40-59,13,,0.011304,,Analyse interne OC
2023,Auvergne-Rhône-Alpes,homme,60+,1,,0.000870,,Analyse interne OC
2023,Bourgogne-Franche-Comté,Non renseigné,20-39,2,,0.001739,,Analyse interne OC
2023,Bourgogne-Franche-Comté,femme,20-39,2,,0.001739,,Analyse interne OC
2023,Bourgogne-Franche-Comté,femme,40-59,1,,0.000870,,Analyse interne OC
2023,Bourgogne-Franche-Comté,homme,20-39,8,,0.006957,,Analyse interne OC
2023,Bourgogne-Franche-Comté,homme,40-59,4,,0.003478,,Analyse interne OC
2023,Bretagne,Non renseigné,20-39,13,,0.011304,,Analyse interne OC
2023,Bretagne,Non renseigné,40-59,7,,0.006087,,Analyse interne OC
2023,Bretagne,femme,20-39,3,,0.002609,,Analyse interne OC
2023,Bretagne,femme,40-59,1,,0.000870,,Analyse interne OC
2023,Bretagne,homme,20-39,5,,0.004348,,Analyse interne OC
2023,Bretagne,homme,40-59,4,,0.003478,,Analyse interne OC
2023,Centre-Val de Loire,Non renseigné,20-39,4,,0.003478,,Analyse interne OC
2023,Centre-Val de Loire,Non renseigné,40-59,2,,0.001739,,Analyse interne OC
2023,Centre-Val de Loire,femme,20-39,4,,0.003478,,Analyse interne OC
2023,Centre-Val de Loire,homme,20-39,10,,0.008696,,Analyse interne OC
2023,Centre-Val de Loire,homme,40-59,4,,0.003478,,Analyse interne OC
2023,Centre-Val de Loire,homme,60+,1,,0.000870,,Analyse interne OC
2023,DROM,Non renseigné,20-39,2,,0.001739,,Analyse interne OC
2023,DROM,femme,20-39,1,,0.000870,,Analyse interne OC
2023,DROM,femme,40-59,2,,0.001739,,Analyse interne OC
2023,DROM,homme,20-39,1,,0.000870,,Analyse interne OC
2023,DROM,homme,40-59,1,,0.000870,,Analyse interne OC
2023,Grand Est,Non renseigné,20-39,11,,0.009565,,Analyse interne OC
2023,Grand Est,Non renseigné,40-59,5,,0.004348,,Analyse interne OC
2023,Grand Est,femme,20-39,7,,0.006087,,Analyse interne OC
2023,Grand Est,homme,20-39,20,,0.017391,,Analyse interne OC
2023,Grand Est,homme,40-59,6,,0.005217,,Analyse interne OC
2023,Hauts-de-France,Non renseigné,20-39,14,,0.012174,,Analyse interne OC
2023,Hauts-de-France,Non renseigné,40-59,5,,0.004348,,Analyse interne OC
2023,Hauts-de-France,femme,20-39,13,,0.011304,,Analyse interne OC
2023,Hauts-de-France,femme,40-59,5,,0.004348,,Analyse interne OC
2023,Hauts-de-France,homme,20-39,22,,0.019130,,Analyse interne OC
2023,Hauts-de-France,homme,40-59,9,,0.007826,,Analyse interne OC
2023,Hauts-de-France,homme,60+,1,,0.000870,,Analyse interne OC
2023,Normandie,Non renseigné,20-39,7,,0.006087,,Analyse interne OC
2023,Normandie,Non renseigné,40-59,3,,0.002609,,Analyse interne OC
2023,Normandie,femme,20-39,5,,0.004348,,Analyse interne OC
2023,Normandie,femme,40-59,4,,0.003478,,Analyse interne OC
